epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52194,1.60744,3.63875,1.80381,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.000222222,0.000222222,0.000222222
2,7.30464,1.78173,3.66449,1.89195,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.000544556,0.000544556,0.000544556
3,10.6598,1.70785,3.65892,1.94276,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.000853689,0.000853689,0.000853689
4,14.0521,1.48145,3.54606,1.71074,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.0009406,0.0009406,0.0009406
5,17.384,1.5006,3.64077,1.76464,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.0009208,0.0009208,0.0009208
6,20.7477,1.39984,3.64237,1.58338,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.000901,0.000901,0.000901
7,24.205,1.60956,3.57948,1.74004,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.0008812,0.0008812,0.0008812
8,27.5852,1.51547,3.49881,1.85367,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.0008614,0.0008614,0.0008614
9,31.0729,1.40504,3.52623,1.66042,0.09091,0.71429,0.0858,0.03838,1.68486,3.43289,1.927,0.0008416,0.0008416,0.0008416
10,35.0104,1.79057,3.80274,1.84259,0.1,0.85714,0.29829,0.09232,1.45773,3.4017,1.80588,0.0008218,0.0008218,0.0008218
11,39.7251,1.55799,3.38333,1.60476,0.1,0.85714,0.29829,0.09232,1.45773,3.4017,1.80588,0.000802,0.000802,0.000802
12,44.9035,1.52747,3.28248,1.638,0.1,0.85714,0.29829,0.09232,1.45773,3.4017,1.80588,0.0007822,0.0007822,0.0007822
